"G ",9
"G-",1
"GU",10
"GR",6
"GE",4
"GD",1
"GA",1
"GO",2
"GL",2
"GI",2
"GH",2
"Gu",120
"Gr",24
"Ge",21
"-V",1
"Ga",6
"Go",49
"Gl",5
"Gi",14
"ZO",1
"tz",7
"Zo",1
"tx",1
"Ze",6
"-b",31
"-l",26
"-o",27
"-n",17
"<quote>e",2
"-i",15
"-h",31
"iz",120
"-k",2
"9t",8
"tn",30
"m'",3
"m!",19
"m ",1174
"-t",139
"m-",8
"m,",197
"m.",230
"m)",1
"-w",52
"iq",37
"-v",3
"ip",195
"m?",18
"is",3644
"m;",23
"m:",4
"<quote>o",11
"-s",53
"9.",5
"9 ",2
"-r",48
"9'",1
"<quote>i",28
"99",2
"91",2
"90",7
"iv",677
"94",3
"97",4
"96",3
"me",2788
"<quote>t",63
"mg",2
"mf",15
"ma",1510
"mb",201
"mm",265
"ml",17
"mo",1589
"mn",18
"mi",980
"mk",8
"mu",360
"mt",3
"mp",616
"ms",300
"mr",3
"im",1125
"my",691
"Le",39
"io",1548
"La",253
"Lo",28
"Ll",2
"in",8130
"Li",83
"Ly",2
"LF",2
"LE",11
"LA",11
"LO",2
"LL",6
"LK",1
"id",1337
"LT",1
"LU",3
"LP",1
"<quote>D",24
"L ",11
"L,",2
"L-",1
"L6",1
"L5",1
"L2",3
"L1",2
"9°",2
"L8",2
"V,",3
"_x",1
"_a",1
"t?",71
"- ",10
"_,",1
"_ ",1
"-(",3
"LI",18
"rt",1046
"ru",426
"rv",247
"rw",52
"rp",238
"rq",3
"rr",518
"rs",1128
"ry",666
"rd",841
"re",6558
"rf",285
"rg",388
"ra",1895
"rb",92
"rc",343
"rl",220
"rm",610
"rn",584
"ro",2586
"rh",60
"ri",2150
"rj",2
"rk",398
".4",2
"r?",50
"r:",6
"r;",64
"r'",27
"r ",4055
"r!",37
"r<quote>",3
"r,",668
"r-",60
"r.",333
"r)",4
"iu",50
"Qu",8
"QU",1
"d.",633
"d,",1089
"d-",41
"d)",4
"d'",36
"d<quote>",1
"d ",10602
"d!",43
"d?",44
"d:",37
"d;",99
"0°",6
"dn",14
"do",602
"dl",136
"dm",63
"dj",3
"dk",1
"dh",8
"di",1519
"df",27
