"-D",3
"G ",6
"G-",1
"GU",5
"GT",4
"GR",6
"GE",5
"GA",1
"GO",1
"GL",2
"GI",2
"GH",1
"Gu",117
"Gr",31
"Ge",7
"Ga",12
"Go",11
"Gl",5
"Gi",9
"Gh",1
"&r",1
"&e",1
"-Z",4
"ZO",1
"èr",966
"ZE",2
"èp",2
"èq",23
"èv",43
"èt",422
"èn",126
"èl",26
"èm",118
"èb",28
"èc",116
"èg",50
"èd",38
"tx",1
"Ze",1
"-b",20
"tw",1
"-o",63
"Gé",4
"-n",59
"Là",60
"-i",339
"-h",41
"tp",9
"tn",1
"m'",338
"m ",215
"-t",148
"m-",52
"m,",39
"m.",21
"-w",1
"LÈ",2
"tm",120
"tj",1
"tk",2
"9-",1
"-s",62
"9/",1
"9.",5
"9 ",10
"-r",2
"9'",3
"99",2
"91",1
"90",3
"93",1
"92",1
"94",3
"97",5
"96",1
"me",6371
"<quote>t",1
"mg",2
"« ",531
"ma",3266
"mc",1
"mb",735
"mm",1422
"tb",1
"mo",3031
"mn",19
"mi",1846
"mh",1
"mk",9
"mu",329
"mt",1
"mp",1460
"ms",38
"my",45
".9",3
"Le",913
"La",592
"Lo",51
"Ll",1
"Li",98
"Lu",9
"Ly",1
"LF",1
"LE",40
"LA",17
"LO",2
"LL",15
"LI",25
"LU",5
"LP",1
"LQ",2
"L'",175
"L ",11
"L,",2
"9°",6
"mâ",47
"mî",3
"mé",526
"mè",436
"mê",282
"mô",1
"mû",5
"_Z",3
"_V",6
"_U",4
"_T",4
"_S",22
"_R",7
"_P",10
"_N",628
"_M",15
"_L",7
"_J",1
"_I",2
"_H",6
"_G",10
"_F",2
"_E",5
"_D",1
"_C",12
"_B",8
"_A",72
"rô",27
"_v",1
"_t",4
"_s",3
"_q",1
"rû",12
"_o",2
"_m",2
"rç",131
"_k",1
"râ",48
"_h",1
"_f",4
"rî",7
"_d",3
"rè",576
"_b",4
"rê",258
"Zé",6
"_?",1
"_1",1
"_.",132
"_,",224
"_ ",503
"r_",11
"_É",1
"_Æ",2
"rt",1687
"ru",595
"rv",509
"rw",33
"rp",350
"rq",173
"rr",1136
"rs",2309
"ry",52
"rz",12
"rd",1115
"re",11085
"rf",300
"rg",469
"ra",4928
"rb",194
"rc",726
"rl",200
"rm",1014
"rn",494
"ro",3451
"rh",22
"ri",3515
"rj",2
"rk",108
".4",2
"r:",2
"r'",9
"r ",6521
"r,",1005
"r-",45
"r.",641
"r)",1
"ù,",4
"Qu",317
"QU",11
"d.",249
"d,",407
"d-",55
"d)",1
"éq",147
"ép",1037
"és",1263
"ér",1048
"éu",47
"ét",1844
"d ",1369
"év",306
"éi",23
"éh",20
"ék",1
"éj",107
"ém",350
"él",497
"éo",65
"én",326
"éa",279
"éc",1045
"éb",110
"ée",1310
"éd",229
"ég",393
"éf",132
"0°",13
"é_",1
"dn",3
"do",1258
"dl",2
"dm",104
"dj",3
"dh",15
"di",2951
"dg",2
"dd",13
"de",11407
"da",2194
"é-",1
"é,",308
"é.",209
"dv",7
"é ",1689
"dt",3
"du",1935
"dr",812
"ds",350
"dq",1
"d_",5
"w ",30
"w.",11
"w-",3
"w,",1
"éé",4
"éï",3
"éâ",10
"02",6
"00",29
"01",6
"06",1
"04",1
"05",2
"09",5
"0 ",39
"0'",18
"ès",548
"0)",1
"0.",1
"0/",1
"0,",6
"dî",20
"we",17
"wc",1
"wb",2
"dè",34
"dé",1170
"wo",79
"wn",10
"dâ",6
"wi",81
"wh",22
"ww",12
"ws",9
"dû",29
"dô",1
"w_",1
"ié",159
"iè",557
"iâ",4
"C.",2
"C ",2
"C'",252
"CI",7
"CH",7
"CO",12
"CL",3
"CC",1
"CA",8
"CE",7
"CR",2
"CU",1
"CT",10
"Ci",14
"Ch",42
"Co",583
"Cl",15
"Vé",12
"Ca",298
"Ce",536
"Cy",3
"Cr",36
"Cu",10
"ix",394
"iz",127
"iq",822
"ip",273
"is",6762
"ir",2921
"iu",41
"it",8287
"iv",942
"ii",1
"ih",2
"ik",20
"ij",8
"im",1081
"il",5250
"io",2196
"in",6119
"ia",540
"ic",932
"ib",522
"ie",5314
"id",841
"ig",843
"if",485
"V ",20
"n:",2
"V,",3
"<quote>I",1
"<quote>P",7
"<quote>R",1
"C°",1
"bî",21
"VA",2
"CÉ",1
"<quote> ",10
"VE",9
"VI",36
"<quote>)",1
"Ob",2
"i-",229
"i,",589
"i.",188
"i ",3501
"Va",31
"Cé",1
"Ve",62
"Vi",34
"Vo",158
"Vr",4
"HÉ",1
"°2",11
"°3",21
"°1",12
"°7",2
"°4",10
"°5",11
"°8",1
"Hô",1
"° ",26
"Hé",7
"bû",1
"°,",1
"Lé",3
"59",2
"58",1
"55",3
"54",2
"57",5
"56",3
"51",3
"50",14
"53",4
"52",3
"5,",6
"5/",1
"5.",4
"5'",12
"5 ",16
"°l",1
"HT",1
"HU",1
"HI",8
"HO",5
"HA",5
"HE",10
"Hy",3
"Hu",15
"Hi",8
"Ho",27
"Ha",21
"He",24
"_e",1
"5°",11
"H.",1
"H ",5
"-6",1
"[T",1
"[E",1
"'«",2
"nè",65
"né",684
"nê",9
"nî",4
"nâ",16
"nç",154
"nô",3
"'â",15
"'à",127
"'î",79
"'ê",40
"'é",1064
"'É",18
"éz",1
"n_",76
"'.",2
"',",5
"9,",6
"nh",13
"ni",1471
"nj",18
"nk",7
"nl",44
"nm",9
"nn",1342
"no",2519
"na",2242
"nb",89
"nc",2160
"nd",3815
"ne",6257
"nf",363
"ng",1355
"nx",3
"ny",56
"nz",87
"np",1
"nq",391
"nr",82
"ns",5612
